open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
153.785,156.295,153.46,153.83,85084876.0,156.3,153.46,153.83,153.785,87558028.0,1.0,0.0,AAPL,XNAS,2023-03-06T00:00:00+0000
148.04,151.11,147.33,151.03,70668500.0,151.11,147.33,151.03,148.045,70732297.0,1.0,0.0,AAPL,XNAS,2023-03-03T00:00:00+0000
144.38,146.71,143.9,145.91,52279761.0,146.71,143.9,145.91,144.38,52279761.0,1.0,0.0,AAPL,XNAS,2023-03-02T00:00:00+0000
146.83,147.2285,145.01,145.31,55478991.0,147.2285,145.01,145.31,146.83,55478991.0,1.0,0.0,AAPL,XNAS,2023-03-01T00:00:00+0000
147.05,149.075,146.87,147.41,50145937.0,149.08,146.83,147.41,147.05,50546998.0,1.0,0.0,AAPL,XNAS,2023-02-28T00:00:00+0000
147.71,149.17,147.45,147.92,44950000.0,149.17,147.45,147.92,147.71,44998470.0,1.0,0.0,AAPL,XNAS,2023-02-27T00:00:00+0000
147.11,147.19,145.72,146.71,55418200.0,147.19,145.7202,146.71,147.11,55469606.0,1.0,0.0,AAPL,XNAS,2023-02-24T00:00:00+0000
150.09,150.34,147.24,149.4,48349600.0,150.34,147.24,149.4,150.09,48394249.0,1.0,0.0,AAPL,XNAS,2023-02-23T00:00:00+0000
148.87,149.95,147.16,148.91,50939700.0,149.95,147.16,148.91,148.87,51011305.0,1.0,0.0,AAPL,XNAS,2023-02-22T00:00:00+0000
150.2,151.3,148.41,148.48,58772400.0,151.3,148.405,148.48,150.2,58867230.0,1.0,0.0,AAPL,XNAS,2023-02-21T00:00:00+0000
152.35,153.0,150.85,152.55,59144118.0,153.0,150.85,152.55,152.35,59144118.0,1.0,0.0,AAPL,XNAS,2023-02-17T00:00:00+0000
153.51,156.33,153.35,153.71,68031000.0,156.33,153.3475,153.71,153.51,68167942.0,1.0,0.0,AAPL,XNAS,2023-02-16T00:00:00+0000
153.11,155.5,152.88,155.33,65573800.0,155.5,152.88,155.33,153.11,65669252.0,1.0,0.0,AAPL,XNAS,2023-02-15T00:00:00+0000
152.12,153.77,150.87,153.2,61707573.0,153.77,150.86,153.2,152.12,61707573.0,1.0,0.0,AAPL,XNAS,2023-02-14T00:00:00+0000
150.952,154.26,150.92,153.85,62199013.0,154.26,150.92,153.85,150.952,62199013.0,1.0,0.0,AAPL,XNAS,2023-02-13T00:00:00+0000
149.46,151.34,149.22,151.01,57409100.0,151.3401,149.22,151.01,149.46,57450708.0,1.0,0.23,AAPL,XNAS,2023-02-10T00:00:00+0000
153.78,154.33,150.42,150.87,55921800.0,154.33,150.42,150.64,153.775,56007143.0,1.0,0.0,AAPL,XNAS,2023-02-09T00:00:00+0000
153.88,154.58,151.17,151.92,64038100.0,154.58,151.168,151.92,153.88,64120079.0,1.0,0.0,AAPL,XNAS,2023-02-08T00:00:00+0000
150.64,155.23,150.64,154.65,83206400.0,155.23,150.64,154.65,150.64,83322551.0,1.0,0.0,AAPL,XNAS,2023-02-07T00:00:00+0000
152.57,153.1,150.78,151.73,69769900.0,153.1,150.78,151.73,152.575,69858306.0,1.0,0.0,AAPL,XNAS,2023-02-06T00:00:00+0000
148.03,157.38,147.83,154.5,154279900.0,157.38,147.83,154.5,148.03,154357337.0,1.0,0.0,AAPL,XNAS,2023-02-03T00:00:00+0000
148.9,151.18,148.17,150.82,116868600.0,151.18,148.17,150.82,148.9,118338980.0,1.0,0.0,AAPL,XNAS,2023-02-02T00:00:00+0000
143.97,146.61,141.32,145.43,77310900.0,146.61,141.32,145.43,143.97,77663633.0,1.0,0.0,AAPL,XNAS,2023-02-01T00:00:00+0000
142.7,144.34,142.28,144.29,60339047.0,144.34,142.28,144.29,142.7,65874459.0,1.0,0.0,AAPL,XNAS,2023-01-31T00:00:00+0000
144.96,145.55,142.85,143.0,63947600.0,145.55,142.85,143.0,144.955,64015274.0,1.0,0.0,AAPL,XNAS,2023-01-30T00:00:00+0000
143.16,147.23,143.08,145.93,70492800.0,147.23,143.08,145.93,143.155,70555843.0,1.0,0.0,AAPL,XNAS,2023-01-27T00:00:00+0000
143.17,144.25,141.9,143.96,54003800.0,144.25,141.9,143.96,143.17,54105068.0,1.0,0.0,AAPL,XNAS,2023-01-26T00:00:00+0000
140.89,142.43,138.81,141.86,65652500.0,142.43,138.81,141.86,140.89,65799349.0,1.0,0.0,AAPL,XNAS,2023-01-25T00:00:00+0000
140.31,143.16,140.3,142.53,66081800.0,143.16,140.3,142.53,140.305,66435142.0,1.0,0.0,AAPL,XNAS,2023-01-24T00:00:00+0000
138.12,143.32,137.9,141.11,81698400.0,143.315,137.9,141.11,138.12,81760313.0,1.0,0.0,AAPL,XNAS,2023-01-23T00:00:00+0000
135.28,138.02,134.22,137.87,79972200.0,138.02,134.22,137.87,135.28,80223626.0,1.0,0.0,AAPL,XNAS,2023-01-20T00:00:00+0000
134.08,136.25,133.77,135.27,58169700.0,136.25,133.77,135.27,134.08,58280413.0,1.0,0.0,AAPL,XNAS,2023-01-19T00:00:00+0000
136.82,138.61,135.03,135.21,69567000.0,138.61,135.03,135.21,136.815,69672800.0,1.0,0.0,AAPL,XNAS,2023-01-18T00:00:00+0000
134.83,137.29,134.13,135.94,63502900.0,137.29,134.13,135.94,134.83,63646627.0,1.0,0.0,AAPL,XNAS,2023-01-17T00:00:00+0000
132.03,134.92,131.66,134.76,57809719.0,134.92,131.66,134.76,132.03,57809719.0,1.0,0.0,AAPL,XNAS,2023-01-13T00:00:00+0000
133.88,134.26,131.44,133.41,71326100.0,134.26,131.44,133.41,133.88,71379648.0,1.0,0.0,AAPL,XNAS,2023-01-12T00:00:00+0000
131.25,133.51,130.46,133.49,69359700.0,133.51,130.46,133.49,131.25,69458949.0,1.0,0.0,AAPL,XNAS,2023-01-11T00:00:00+0000
130.26,131.26,128.12,130.73,63803400.0,131.2636,128.12,130.73,130.26,63896155.0,1.0,0.0,AAPL,XNAS,2023-01-10T00:00:00+0000
130.47,133.41,129.89,130.15,70675200.0,133.41,129.89,130.15,130.465,70790813.0,1.0,0.0,AAPL,XNAS,2023-01-09T00:00:00+0000
126.01,130.29,124.89,129.62,87686600.0,130.29,124.89,129.62,126.01,87754715.0,1.0,0.0,AAPL,XNAS,2023-01-06T00:00:00+0000
127.13,127.77,124.76,125.02,80829600.0,127.77,124.76,125.02,127.13,80962708.0,1.0,0.0,AAPL,XNAS,2023-01-05T00:00:00+0000
126.89,128.66,125.08,126.36,88886500.0,128.6557,125.08,126.36,126.89,89113633.0,1.0,0.0,AAPL,XNAS,2023-01-04T00:00:00+0000
130.28,130.9,124.17,125.07,111975500.0,130.9,124.17,125.07,130.28,112117471.0,1.0,0.0,AAPL,XNAS,2023-01-03T00:00:00+0000
128.41,129.95,127.43,129.93,77034209.0,129.95,127.43,129.93,128.41,77034209.0,1.0,0.0,AAPL,XNAS,2022-12-30T00:00:00+0000
127.99,130.48,127.73,129.61,75624700.0,130.4814,127.73,129.61,127.99,75703710.0,1.0,0.0,AAPL,XNAS,2022-12-29T00:00:00+0000
129.67,131.03,125.87,126.04,85323900.0,131.0275,125.87,126.04,129.67,85438391.0,1.0,0.0,AAPL,XNAS,2022-12-28T00:00:00+0000
131.38,131.41,128.72,130.03,68927300.0,131.41,128.72,130.03,131.38,69007830.0,1.0,0.0,AAPL,XNAS,2022-12-27T00:00:00+0000
130.92,132.415,129.64,131.86,63814893.0,132.415,129.64,131.86,130.92,63814893.0,1.0,0.17,AAPL,XNAS,2022-12-23T00:00:00+0000
134.352,134.56,130.3,132.23,77852108.0,134.56,130.3,132.23,134.352,77852108.0,1.0,0.0,AAPL,XNAS,2022-12-22T00:00:00+0000
132.98,136.81,132.75,135.45,85927993.0,136.81,132.75,135.45,132.98,85927993.0,1.0,0.0,AAPL,XNAS,2022-12-21T00:00:00+0000
131.39,133.25,129.89,132.3,77432819.0,133.25,129.89,132.3,131.39,77432819.0,1.0,0.0,AAPL,XNAS,2022-12-20T00:00:00+0000
135.11,135.2,131.32,132.37,79592614.0,135.2,131.32,132.37,135.11,79592614.0,1.0,0.0,AAPL,XNAS,2022-12-19T00:00:00+0000
136.69,137.65,133.73,134.51,160080100.0,137.65,133.73,134.51,136.685,160156900.0,1.0,0.0,AAPL,XNAS,2022-12-16T00:00:00+0000
141.11,141.8,136.025,136.5,98931907.0,141.8,136.025,136.5,141.11,98931907.0,1.0,0.0,AAPL,XNAS,2022-12-15T00:00:00+0000
145.35,146.655,141.16,143.21,82291182.0,146.655,141.16,143.21,145.35,82291182.0,1.0,0.0,AAPL,XNAS,2022-12-14T00:00:00+0000
149.5,149.9692,144.24,145.47,93886161.0,149.9692,144.24,145.47,149.5,93886161.0,1.0,0.0,AAPL,XNAS,2022-12-13T00:00:00+0000
142.7,144.5,141.06,144.49,70462654.0,144.5,141.06,144.49,142.7,70462654.0,1.0,0.0,AAPL,XNAS,2022-12-12T00:00:00+0000
142.34,145.57,140.9,142.16,76069500.0,145.57,140.9,142.16,142.34,76097011.0,1.0,0.0,AAPL,XNAS,2022-12-09T00:00:00+0000
142.36,143.52,141.1,142.65,62128338.0,143.52,141.1,142.65,142.36,62128338.0,1.0,0.0,AAPL,XNAS,2022-12-08T00:00:00+0000
142.19,143.37,140.0,140.94,69721094.0,143.37,140.0,140.94,142.19,69721094.0,1.0,0.0,AAPL,XNAS,2022-12-07T00:00:00+0000
147.075,147.3,141.92,142.91,64727186.0,147.3,141.92,142.91,147.075,64727186.0,1.0,0.0,AAPL,XNAS,2022-12-06T00:00:00+0000
147.77,150.9199,145.77,146.63,68826442.0,150.9199,145.77,146.63,147.77,68826442.0,1.0,0.0,AAPL,XNAS,2022-12-05T00:00:00+0000
145.96,148.0,145.65,147.81,65421400.0,148.0,145.65,147.81,145.96,65447446.0,1.0,0.0,AAPL,XNAS,2022-12-02T00:00:00+0000
148.21,149.13,146.61,148.31,71250414.0,149.13,146.61,148.31,148.21,71250416.0,1.0,0.0,AAPL,XNAS,2022-12-01T00:00:00+0000
141.395,148.72,140.55,148.03,111380898.0,148.72,140.55,148.03,141.395,111380880.0,1.0,0.0,AAPL,XNAS,2022-11-30T00:00:00+0000
144.29,144.81,140.355,141.17,83763797.0,144.81,140.355,141.17,144.29,83763803.0,1.0,0.0,AAPL,XNAS,2022-11-29T00:00:00+0000
145.14,146.64,143.38,144.22,69346523.0,146.64,143.38,144.22,145.14,69346522.0,1.0,0.0,AAPL,XNAS,2022-11-28T00:00:00+0000
148.31,148.88,147.12,148.11,35195900.0,148.88,147.12,148.11,148.305,35195860.0,1.0,0.0,AAPL,XNAS,2022-11-25T00:00:00+0000
149.45,151.83,149.34,151.07,58301395.0,151.83,149.34,151.07,149.45,58301395.0,1.0,0.0,AAPL,XNAS,2022-11-23T00:00:00+0000
148.13,150.42,146.925,150.18,51804132.0,150.42,146.925,150.18,148.13,51804132.0,1.0,0.0,AAPL,XNAS,2022-11-22T00:00:00+0000
150.16,150.37,147.715,148.01,58724070.0,150.37,147.715,148.01,150.16,58724070.0,1.0,0.0,AAPL,XNAS,2022-11-21T00:00:00+0000
152.31,152.7,149.97,151.29,74794600.0,152.7,149.97,151.29,152.305,74829573.0,1.0,0.0,AAPL,XNAS,2022-11-18T00:00:00+0000
146.43,151.48,146.15,150.72,80389400.0,151.48,146.15,150.72,146.43,80389400.0,1.0,0.0,AAPL,XNAS,2022-11-17T00:00:00+0000
149.13,149.87,147.29,148.79,64218273.0,149.87,147.29,148.79,149.13,64218266.0,1.0,0.0,AAPL,XNAS,2022-11-16T00:00:00+0000
152.215,153.59,148.5613,150.04,89868328.0,153.59,148.5613,150.04,152.215,89868332.0,1.0,0.0,AAPL,XNAS,2022-11-15T00:00:00+0000
148.97,150.28,147.43,148.28,73374114.0,150.28,147.43,148.28,148.97,73374114.0,1.0,0.0,AAPL,XNAS,2022-11-14T00:00:00+0000
145.82,150.01,144.37,149.7,93903800.0,150.01,144.37,149.7,145.82,93979665.0,1.0,0.0,AAPL,XNAS,2022-11-11T00:00:00+0000
141.24,146.87,139.5,146.87,118854028.0,146.87,139.5,146.87,141.24,118854028.0,1.0,0.0,AAPL,XNAS,2022-11-10T00:00:00+0000
138.5,138.55,134.5933,134.87,74917794.0,138.55,134.5933,134.87,138.5,74917794.0,1.0,0.0,AAPL,XNAS,2022-11-09T00:00:00+0000
140.41,141.43,137.49,139.5,89908477.0,141.43,137.49,139.5,140.41,89908477.0,1.0,0.0,AAPL,XNAS,2022-11-08T00:00:00+0000
137.11,139.145,135.671,138.92,83374628.0,139.145,135.671,138.92,137.11,83374628.0,1.0,0.0,AAPL,XNAS,2022-11-07T00:00:00+0000
142.09,142.67,134.38,138.38,140716700.0,142.67,134.38,138.38,142.09,140814796.0,1.0,0.23,AAPL,XNAS,2022-11-04T00:00:00+0000
142.06,142.8,138.75,138.88,97572100.0,142.8,138.75,138.65,142.06,97918516.0,1.0,0.0,AAPL,XNAS,2022-11-03T00:00:00+0000
